,0,1
0,5.866377,7.811467
1,4.5505486,10.696979
2,4.223622,11.530022
3,3.101832,9.909179
4,1.9619946,-4.6132183
5,3.1080248,-5.3081017
6,2.5196505,-4.5814104
7,3.2003694,-4.0527906
8,2.4394178,-0.43000746
9,3.7583325,-1.41378
10,2.4791791,-3.7095158
11,2.8906813,-0.96702385
12,4.3466716,-4.1910324
13,2.6938834,-4.9004164
14,4.023018,-3.9352744
15,-3.9425333,-1.4773626
16,-6.8612843,1.4082725
17,-11.44258,1.034166
18,-6.9111547,-0.21148515
19,-12.404356,2.1811402
20,-13.401227,3.9196842
21,-0.25819612,-3.0413482
22,5.289625,7.0405874
23,3.879925,11.307971
24,4.7555003,5.0375776
25,3.395958,-4.311227
26,4.7778687,2.159375
27,-6.635274,-0.47881246
28,-11.407386,2.1560931
29,-3.2153099,3.4811647
30,-3.8913476,-2.5183976
31,5.7299385,7.8634644
32,5.234368,6.321804
33,3.7878401,-2.774369
34,3.7051177,0.523592
35,5.86841,1.3453033
36,4.6307087,-0.57954884
37,5.0460863,1.2514534
38,1.520248,-1.839916
39,5.7255754,3.9897342
40,-7.1205816,1.1166717
41,-2.4629638,3.295715
42,-1.1562471,-0.71560836
43,5.977348,8.56757
44,4.887779,-1.2993791
45,3.7723603,1.310442
46,5.5401845,2.758463
47,3.8889499,-0.21424031
48,2.4898906,-1.4453833
49,0.75422144,-3.581401
50,4.890377,0.060439825
51,4.623598,1.476831
52,4.467396,11.242172
53,5.5981526,9.730389
54,5.5955076,7.3475094
55,4.646722,5.6245174
56,-2.7920935,-2.9762776
57,-13.449288,3.6410716
58,2.0501301,-2.1969154
59,0.19723439,-1.5939753
60,1.3779416,-3.3102171
61,-11.975498,2.9969058
62,-1.5452373,-1.524534
63,4.070363,-4.344679
64,5.4536257,-2.0933344
65,3.448782,-1.5776541
66,3.4619892,1.6671025
67,-12.777923,2.5087929
68,-3.6009362,-2.056123
69,3.9088898,-2.7383502
70,1.6520796,-5.3400755
71,3.6620488,1.344694
72,-3.3152683,0.06090617
73,2.8673654,-5.3624134
74,2.91412,0.3723799
75,5.4428244,3.4722002
76,1.3173001,-4.455163
77,-8.062851,3.6076708
78,-7.1764402,-1.220263
79,1.1992507,-3.5240767
80,-1.4664166,-4.28102
81,1.93169,-4.0883465
82,1.7737463,-3.883958
83,-7.467389,0.43309724
84,2.2115924,-0.20490742
85,0.36563087,-1.636785
86,-5.6781225,-1.9768727
87,4.3873296,2.9432936
88,-8.857406,2.1705723
89,5.559844,9.698497
90,-8.928836,1.7419755
91,4.232521,-1.3870602
92,2.4973137,-4.8785954
93,-3.7923267,0.7584574
94,-12.306027,3.1606922
95,2.7163224,-1.3032329
96,1.826538,-4.1610985
97,3.234743,-2.1786406
98,2.7835138,-1.375845
99,-8.647162,-0.44995236
100,-2.481322,-3.2328022
101,4.5626845,0.3677162
102,-13.625678,3.254127
103,-1.096787,-4.245308
104,-5.7217073,-2.2775662
105,-1.9952538,-1.1330864
106,2.8470306,-3.7447274
107,2.7341506,-0.6064322
108,4.076182,-3.0439785
109,-0.6658385,-2.7157023
110,-0.5705321,-4.620182
111,6.909354,-2.2009046
112,-7.8917837,1.3241113
113,1.3445889,-2.1861775
114,3.3098125,-3.4718893
115,3.1031609,-4.6189394
116,3.4120631,-3.1628473
117,3.7325487,-2.2028863
118,2.103128,-1.7743895
119,-11.078267,0.8684871
120,-8.147151,0.08952403
121,-0.97205997,-3.1284916
122,-1.3361933,-2.8429558
123,3.934432,-1.326391
124,-6.281722,-0.1658833
125,0.3153479,-0.5029113
126,3.6755083,-0.5187905
127,0.456074,-1.2643545
128,-8.700685,-1.3792145
129,4.994023,5.0140505
130,1.2659581,-3.0359986
131,-6.0964937,-1.1007011
132,4.9092655,-4.1245594
133,-4.986658,2.840735
134,2.77216,-1.4253392
135,0.68889236,-4.5178204
136,-4.8786497,-1.6302867
137,-11.837686,2.9202232
138,-3.531552,1.578348
139,5.2281284,1.2734939
140,-3.2038367,-2.6795704
141,3.4870038,-0.016444683
